CHABO_DNA_58_S40_repaired_R1.fastq.gz	CHABO_DNA_58_S40_repaired_R2.fastq.gz	CHABO_DNA_58
CHABO_DNA_63_S41_repaired_R1.fastq.gz	CHABO_DNA_63_S41_repaired_R2.fastq.gz	CHABO_DNA_63
CHABO_DNA_69_S42_repaired_R1.fastq.gz	CHABO_DNA_69_S42_repaired_R2.fastq.gz	CHABO_DNA_69
CHABO_DNA_84_S43_repaired_R1.fastq.gz	CHABO_DNA_84_S43_repaired_R2.fastq.gz	CHABO_DNA_84
CHABO_DNA_89_S44_repaired_R1.fastq.gz	CHABO_DNA_89_S44_repaired_R2.fastq.gz	CHABO_DNA_89
CHABO_DNA_90_S45_repaired_R1.fastq.gz	CHABO_DNA_90_S45_repaired_R2.fastq.gz	CHABO_DNA_90
CHABO_DNA_91_S46_repaired_R1.fastq.gz	CHABO_DNA_91_S46_repaired_R2.fastq.gz	CHABO_DNA_91
CHABO_DNA_1_S34_repaired_R1.fastq.gz	CHABO_DNA_1_S34_repaired_R2.fastq.gz	CHABO_DNA_1
CHABO_DNA_13_S35_repaired_R1.fastq.gz	CHABO_DNA_13_S35_repaired_R2.fastq.gz	CHABO_DNA_13
CHABO_DNA_36_S36_repaired_R1.fastq.gz	CHABO_DNA_36_S36_repaired_R2.fastq.gz	CHABO_DNA_36
CHABO_DNA_45_S37_repaired_R1.fastq.gz	CHABO_DNA_45_S37_repaired_R2.fastq.gz	CHABO_DNA_45
CHABO_DNA_51_S39_repaired_R1.fastq.gz	CHABO_DNA_51_S39_repaired_R2.fastq.gz	CHABO_DNA_51
