genome,completeness,contamination,strain_heterogeneity,length,N50
Aluwihare_DNA13_bin.1.fa,0.0,0.0,0.0,359995,3627
Aluwihare_DNA13_bin.100.fa,65.28,0.93,100.0,848784,13129
Aluwihare_DNA13_bin.101.fa,2.7,0.0,0.0,707277,94905
Aluwihare_DNA13_bin.102.fa,0.0,0.0,0.0,254687,62710
Aluwihare_DNA13_bin.103.fa,76.64,0.53,100.0,1206507,22771
Aluwihare_DNA13_bin.105.fa,4.17,0.0,0.0,466402,1808
Aluwihare_DNA13_bin.107.fa,1.04,0.0,0.0,386944,9045
Aluwihare_DNA13_bin.108.fa,55.15,2.88,0.0,1491072,2586
Aluwihare_DNA13_bin.11.fa,86.38,0.85,0.0,2654320,11839
Aluwihare_DNA13_bin.111.fa,4.17,0.0,0.0,343121,2842
Aluwihare_DNA13_bin.113.fa,45.33,0.86,100.0,1398970,3788
Aluwihare_DNA13_bin.116.fa,85.18,1.03,50.0,1746988,5647
Aluwihare_DNA13_bin.117.fa,89.14,0.49,100.0,1346122,33220
Aluwihare_DNA13_bin.118.fa,74.41,3.86,14.29,2101641,3469
Aluwihare_DNA13_bin.121.fa,62.93,1.72,0.0,958681,5221
Aluwihare_DNA13_bin.122.fa,0.0,0.0,0.0,299048,31419
Aluwihare_DNA13_bin.123.fa,73.04,3.3,41.18,2661019,4217
Aluwihare_DNA13_bin.124.fa,80.36,0.0,0.0,1211795,21190
Aluwihare_DNA13_bin.126.fa,64.72,1.11,20.0,3002557,3587
Aluwihare_DNA13_bin.129.fa,0.0,0.0,0.0,237918,177940
Aluwihare_DNA13_bin.13.fa,83.26,0.41,0.0,1285024,26789
Aluwihare_DNA13_bin.130.fa,0.0,0.0,0.0,399672,13285
Aluwihare_DNA13_bin.132.fa,93.54,2.99,50.0,2111270,6684
Aluwihare_DNA13_bin.134.fa,3.36,6.94,13.33,206758,12417
Aluwihare_DNA13_bin.135.fa,0.0,0.0,0.0,202859,12658
Aluwihare_DNA13_bin.136.fa,22.76,0.0,0.0,843455,5768
Aluwihare_DNA13_bin.138.fa,0.0,0.0,0.0,653620,8842
Aluwihare_DNA13_bin.139.fa,71.29,0.5,0.0,730567,30800
Aluwihare_DNA13_bin.14.fa,84.97,6.62,60.87,1729181,10957
Aluwihare_DNA13_bin.140.fa,38.18,2.83,0.0,874250,3531
Aluwihare_DNA13_bin.141.fa,86.78,0.63,66.67,3046738,14155
Aluwihare_DNA13_bin.143.fa,17.24,3.45,50.0,285729,1885
Aluwihare_DNA13_bin.145.fa,86.23,1.28,0.0,1612963,29254
Aluwihare_DNA13_bin.147.fa,95.57,2.5,20.0,4317076,12823
Aluwihare_DNA13_bin.148.fa,79.63,2.47,0.0,1489520,32444
Aluwihare_DNA13_bin.15.fa,79.38,0.0,0.0,1249691,46353
Aluwihare_DNA13_bin.151.fa,19.7,0.0,0.0,240575,7267
Aluwihare_DNA13_bin.153.fa,0.0,0.0,0.0,301240,30541
Aluwihare_DNA13_bin.155.fa,0.0,0.0,0.0,278302,24892
Aluwihare_DNA13_bin.156.fa,77.97,0.0,0.0,1380374,24587
Aluwihare_DNA13_bin.158.fa,98.9,0.0,0.0,1968634,96800
Aluwihare_DNA13_bin.16.fa,95.26,1.81,33.33,1577287,38680
Aluwihare_DNA13_bin.160.fa,40.69,0.0,0.0,933095,17487
Aluwihare_DNA13_bin.161.fa,3.54,0.44,0.0,205413,136025
Aluwihare_DNA13_bin.162.fa,0.0,0.0,0.0,228354,6069
Aluwihare_DNA13_bin.163.fa,76.42,2.14,0.0,2018576,5836
Aluwihare_DNA13_bin.164.fa,6.32,3.45,0.0,894201,3825
Aluwihare_DNA13_bin.166.fa,89.52,4.03,20.0,3166720,12925
Aluwihare_DNA13_bin.169.fa,88.62,5.3,45.71,3763586,16374
Aluwihare_DNA13_bin.17.fa,59.54,0.17,100.0,916317,51769
Aluwihare_DNA13_bin.170.fa,27.49,1.72,100.0,615549,2571
Aluwihare_DNA13_bin.172.fa,22.16,2.37,25.0,1532033,2545
Aluwihare_DNA13_bin.174.fa,3.98,0.0,0.0,441533,29055
Aluwihare_DNA13_bin.175.fa,1.22,0.0,0.0,243291,5167
Aluwihare_DNA13_bin.176.fa,41.44,1.97,11.11,1164872,2661
Aluwihare_DNA13_bin.177.fa,77.53,7.3,0.0,4633115,4200
Aluwihare_DNA13_bin.178.fa,27.59,1.72,100.0,534595,3013
Aluwihare_DNA13_bin.179.fa,96.58,4.34,16.67,3348982,47826
Aluwihare_DNA13_bin.18.fa,0.0,0.0,0.0,201020,201020
Aluwihare_DNA13_bin.180.fa,0.0,0.0,0.0,275973,6250
Aluwihare_DNA13_bin.183.fa,75.56,3.7,50.0,2199319,5747
Aluwihare_DNA13_bin.185.fa,97.34,1.28,0.0,1839517,52820
Aluwihare_DNA13_bin.187.fa,40.0,0.0,0.0,1242295,2466
Aluwihare_DNA13_bin.188.fa,5.44,0.52,0.0,361225,12219
Aluwihare_DNA13_bin.19.fa,0.0,0.0,0.0,323042,205886
Aluwihare_DNA13_bin.191.fa,91.45,2.31,0.0,1764366,51141
Aluwihare_DNA13_bin.193.fa,78.02,8.62,42.86,1365742,12659
Aluwihare_DNA13_bin.195.fa,0.0,0.0,0.0,218811,15090
Aluwihare_DNA13_bin.196.fa,0.0,0.0,0.0,204822,36585
Aluwihare_DNA13_bin.197.fa,0.0,0.0,0.0,237624,9745
Aluwihare_DNA13_bin.198.fa,0.0,0.0,0.0,354125,23441
Aluwihare_DNA13_bin.20.fa,24.14,0.0,0.0,746626,2200
Aluwihare_DNA13_bin.200.fa,2.91,0.0,0.0,494117,113735
Aluwihare_DNA13_bin.203.fa,85.77,1.71,50.0,1737111,19969
Aluwihare_DNA13_bin.204.fa,94.05,1.47,20.0,3853038,15181
Aluwihare_DNA13_bin.206.fa,95.23,0.52,0.0,2232680,17701
Aluwihare_DNA13_bin.209.fa,6.47,0.93,0.0,245899,6189
Aluwihare_DNA13_bin.210.fa,0.0,0.0,0.0,261970,45620
Aluwihare_DNA13_bin.212.fa,58.93,3.45,0.0,1869544,15721
Aluwihare_DNA13_bin.214.fa,98.36,0.0,0.0,2295962,71927
Aluwihare_DNA13_bin.215.fa,4.92,0.0,0.0,567028,9637
Aluwihare_DNA13_bin.218.fa,49.57,1.85,0.0,473798,8191
Aluwihare_DNA13_bin.219.fa,0.0,0.0,0.0,238767,7295
Aluwihare_DNA13_bin.22.fa,25.91,3.58,66.67,1523383,2320
